name,path,plugin_id,status
ab-test-setup,${HOME}/.codex/skills/ab-test-setup/SKILL.md,,Retained by approved policy; discovery visibility varies
continuous-discovery,${HOME}/.claude/skills/continuous-discovery/SKILL.md,,Retained by approved policy; discovery visibility varies
copywriting,${HOME}/.codex/skills/copywriting/SKILL.md,,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:assess-client-needs,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/assess-client-needs/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:audit-agency-configuration,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/audit-agency-configuration/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:coordinate-client-communications,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/coordinate-client-communications/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:design-ai-automation-system,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/design-ai-automation-system/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:govern-agency-access-and-security,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/govern-agency-access-and-security/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:govern-agency-integrations,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/govern-agency-integrations/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:govern-agency-operations,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/govern-agency-operations/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:govern-saas-billing-and-rebilling,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/govern-saas-billing-and-rebilling/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:govern-snapshot-library,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/govern-snapshot-library/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:implement-client-workspace,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/implement-client-workspace/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:maintain-client-workspace,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/maintain-client-workspace/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:map-platform-capabilities,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/map-platform-capabilities/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:migrate-and-integrate-data,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/migrate-and-integrate-data/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:momento-agency-operations-agent,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/momento-agency-operations-agent/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:momento-lifecycle-orchestrator,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/momento-lifecycle-orchestrator/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:monitor-agency-portfolio,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/monitor-agency-portfolio/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:monitor-platform-releases,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/monitor-platform-releases/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:offboard-client-workspace,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/offboard-client-workspace/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:onboard-client-workspace,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/onboard-client-workspace/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
createmomento-platform-operations:optimize-customer-success,${HOME}/.codex/plugins/cache/createmomento-private/createmomento-platform-operations/0.1.1+codex.20260915025019/skills/optimize-customer-success/SKILL.md,createmomento-platform-operations@createmomento-private,Retained by approved policy; discovery visibility varies
